	ensembl_id	gene_name
0	ENSG00000186092	OR4F5
1	ENSG00000187634	SAMD11
2	ENSG00000188976	NOC2L
3	ENSG00000187961	KLHL17
4	ENSG00000187583	PLEKHN1
5	ENSG00000187642	PERM1
6	ENSG00000188290	HES4
7	ENSG00000187608	ISG15
8	ENSG00000188157	AGRN
9	ENSG00000237330	RNF223
10	ENSG00000131591	C1orf159
11	ENSG00000162571	TTLL10
12	ENSG00000186891	TNFRSF18
13	ENSG00000186827	TNFRSF4
14	ENSG00000078808	SDF4
15	ENSG00000176022	B3GALT6
16	ENSG00000184163	C1QTNF12
17	ENSG00000160087	UBE2J2
18	ENSG00000162572	SCNN1D
19	ENSG00000131584	ACAP3
20	ENSG00000169972	PUSL1
21	ENSG00000127054	INTS11
22	ENSG00000224051	CPTP
23	ENSG00000169962	TAS1R3
24	ENSG00000107404	DVL1
25	ENSG00000162576	MXRA8
26	ENSG00000175756	AURKAIP1
27	ENSG00000221978	CCNL2
28	ENSG00000242485	MRPL20
29	ENSG00000235098	ANKRD65
30	ENSG00000205116	TMEM88B
31	ENSG00000179403	VWA1
32	ENSG00000215915	ATAD3C
33	ENSG00000160072	ATAD3B
34	ENSG00000197785	ATAD3A
35	ENSG00000205090	TMEM240
36	ENSG00000160075	SSU72
37	ENSG00000228594	FNDC10
38	ENSG00000197530	MIB2
39	ENSG00000189409	MMP23B
40	ENSG00000248333	CDK11B
41	ENSG00000189339	SLC35E2B
42	ENSG00000008128	CDK11A
43	ENSG00000008130	NADK
44	ENSG00000078369	GNB1
45	ENSG00000169885	CALML6
46	ENSG00000178821	TMEM52
47	ENSG00000142609	CFAP74
48	ENSG00000187730	GABRD
49	ENSG00000067606	PRKCZ
50	ENSG00000162585	FAAP20
51	ENSG00000157933	SKI
52	ENSG00000116151	MORN1
53	ENSG00000157916	RER1
54	ENSG00000157911	PEX10
55	ENSG00000149527	PLCH2
56	ENSG00000157881	PANK4
57	ENSG00000197921	HES5
58	ENSG00000157873	TNFRSF14
59	ENSG00000157870	PRXL2B
60	ENSG00000142606	MMEL1
61	ENSG00000215912	TTC34
62	ENSG00000169717	ACTRT2
63	ENSG00000142611	PRDM16
64	ENSG00000130762	ARHGEF16
65	ENSG00000162591	MEGF6
66	ENSG00000158109	TPRG1L
67	ENSG00000116213	WRAP73
68	ENSG00000078900	TP73
69	ENSG00000162592	CCDC27
70	ENSG00000235169	SMIM1
71	ENSG00000130764	LRRC47
72	ENSG00000116198	CEP104
73	ENSG00000169598	DFFB
74	ENSG00000198912	C1orf174
75	ENSG00000131697	NPHP4
76	ENSG00000069424	KCNAB2
77	ENSG00000116254	CHD5
78	ENSG00000116251	RPL22
79	ENSG00000158286	RNF207
80	ENSG00000116237	ICMT
81	ENSG00000173673	HES3
82	ENSG00000158292	GPR153
83	ENSG00000097021	ACOT7
84	ENSG00000069812	HES2
85	ENSG00000187017	ESPN
86	ENSG00000215788	TNFRSF25
87	ENSG00000171680	PLEKHG5
88	ENSG00000162408	NOL9
89	ENSG00000173662	TAS1R1
90	ENSG00000204859	ZBTB48
91	ENSG00000162413	KLHL21
92	ENSG00000116273	PHF13
93	ENSG00000041988	THAP3
94	ENSG00000007923	DNAJC11
95	ENSG00000171735	CAMTA1
96	ENSG00000049245	VAMP3
97	ENSG00000049246	PER3
98	ENSG00000049247	UTS2
99	ENSG00000049249	TNFRSF9
100	ENSG00000116288	PARK7
101	ENSG00000116285	ERRFI1
102	ENSG00000162426	SLC45A1
103	ENSG00000142599	RERE
104	ENSG00000074800	ENO1
105	ENSG00000131686	CA6
106	ENSG00000197241	SLC2A7
107	ENSG00000142583	SLC2A5
108	ENSG00000180758	GPR157
109	ENSG00000049239	H6PD
110	ENSG00000171621	SPSB1
111	ENSG00000171612	SLC25A33
112	ENSG00000188807	TMEM201
113	ENSG00000171608	PIK3CD
